Time,Watering intensity,Shutters,UV-Lamps,Heating
Fri Oct 30 04:00:00 CET 2020,0,1,0,1
Fri Oct 30 05:00:00 CET 2020,0,1,0,1
Fri Oct 30 06:00:00 CET 2020,0,1,0,1
Fri Oct 30 07:00:00 CET 2020,0,1,0,1
Fri Oct 30 08:00:00 CET 2020,0,1,0,1
Fri Oct 30 09:00:00 CET 2020,0,1,0,1
Fri Oct 30 10:00:00 CET 2020,0,1,0,1
Fri Oct 30 11:00:00 CET 2020,0,1,0,1
Fri Oct 30 12:00:00 CET 2020,0,1,0,1
Fri Oct 30 13:00:00 CET 2020,0,1,0,1
Fri Oct 30 14:00:00 CET 2020,0,1,0,1
Fri Oct 30 15:00:00 CET 2020,0,1,0,1
Fri Oct 30 16:00:00 CET 2020,0,1,0,1
Fri Oct 30 17:00:00 CET 2020,0,1,0,1
Fri Oct 30 18:00:00 CET 2020,0,1,1,1
Fri Oct 30 19:00:00 CET 2020,0,1,1,1
Fri Oct 30 20:00:00 CET 2020,0,1,1,1
Fri Oct 30 21:00:00 CET 2020,0,1,1,1
Fri Oct 30 22:00:00 CET 2020,0,1,1,1
Fri Oct 30 23:00:00 CET 2020,0,1,1,1
Sat Oct 31 00:00:00 CET 2020,0,1,0,1
Sat Oct 31 01:00:00 CET 2020,0,1,0,1
Sat Oct 31 02:00:00 CET 2020,0,1,0,1
Sat Oct 31 03:00:00 CET 2020,0,1,0,1
Sat Oct 31 04:00:00 CET 2020,0,1,0,1
Sat Oct 31 05:00:00 CET 2020,0,1,0,1
Sat Oct 31 06:00:00 CET 2020,0,1,0,1
Sat Oct 31 07:00:00 CET 2020,0,1,0,1
Sat Oct 31 08:00:00 CET 2020,0,1,0,1
Sat Oct 31 09:00:00 CET 2020,0,1,0,1
Sat Oct 31 10:00:00 CET 2020,0,1,0,1
Sat Oct 31 11:00:00 CET 2020,0,1,0,1
Sat Oct 31 12:00:00 CET 2020,0,1,0,1
Sat Oct 31 13:00:00 CET 2020,0,1,0,1
Sat Oct 31 14:00:00 CET 2020,0,1,0,1
Sat Oct 31 15:00:00 CET 2020,0,1,0,1
Sat Oct 31 16:00:00 CET 2020,0,1,0,1
Sat Oct 31 17:00:00 CET 2020,0,1,0,1
Sat Oct 31 18:00:00 CET 2020,0,1,1,1
Sat Oct 31 19:00:00 CET 2020,0,1,1,1
Sat Oct 31 20:00:00 CET 2020,0,1,1,1
Sat Oct 31 21:00:00 CET 2020,0,1,1,1
Sat Oct 31 22:00:00 CET 2020,0,1,1,1
Sat Oct 31 23:00:00 CET 2020,0,1,0,1
Sun Nov 01 00:00:00 CET 2020,0,1,0,1
Sun Nov 01 01:00:00 CET 2020,0,1,0,1
Sun Nov 01 02:00:00 CET 2020,0,1,0,1
Sun Nov 01 03:00:00 CET 2020,0,1,0,1
Sun Nov 01 04:00:00 CET 2020,0,1,0,1
Sun Nov 01 05:00:00 CET 2020,0,1,0,1
Sun Nov 01 06:00:00 CET 2020,0,1,0,1
Sun Nov 01 07:00:00 CET 2020,0,1,0,1
Sun Nov 01 08:00:00 CET 2020,0,1,0,1
Sun Nov 01 09:00:00 CET 2020,0,1,0,1
Sun Nov 01 10:00:00 CET 2020,0,1,0,1
Sun Nov 01 11:00:00 CET 2020,0,1,0,1
