Time,Watering intensity,Shutters,UV-Lamps,Heating
Wed Nov 11 21:00:00 CET 2020,0,1,1,1
Wed Nov 11 22:00:00 CET 2020,0,1,1,1
Wed Nov 11 23:00:00 CET 2020,0,1,1,1
Thu Nov 12 00:00:00 CET 2020,0,1,0,1
Thu Nov 12 01:00:00 CET 2020,0,1,0,1
Thu Nov 12 02:00:00 CET 2020,0,1,0,1
Thu Nov 12 03:00:00 CET 2020,0,1,0,1
Thu Nov 12 04:00:00 CET 2020,0,1,0,1
Thu Nov 12 05:00:00 CET 2020,0,1,0,1
Thu Nov 12 06:00:00 CET 2020,0,1,0,1
Thu Nov 12 07:00:00 CET 2020,0,1,0,1
Thu Nov 12 08:00:00 CET 2020,0,1,0,1
Thu Nov 12 09:00:00 CET 2020,0,1,0,1
Thu Nov 12 10:00:00 CET 2020,0,1,0,1
Thu Nov 12 11:00:00 CET 2020,0,1,0,1
Thu Nov 12 12:00:00 CET 2020,0,1,0,1
Thu Nov 12 13:00:00 CET 2020,0,1,0,1
Thu Nov 12 14:00:00 CET 2020,0,1,0,1
Thu Nov 12 15:00:00 CET 2020,0,1,0,1
Thu Nov 12 16:00:00 CET 2020,0,1,0,1
Thu Nov 12 17:00:00 CET 2020,0,1,1,1
Thu Nov 12 18:00:00 CET 2020,0,1,1,1
Thu Nov 12 19:00:00 CET 2020,0,1,0,1
Thu Nov 12 20:00:00 CET 2020,0,1,0,1
Thu Nov 12 21:00:00 CET 2020,0,1,0,1
Thu Nov 12 22:00:00 CET 2020,0,1,0,1
Thu Nov 12 23:00:00 CET 2020,0,1,0,1
Fri Nov 13 00:00:00 CET 2020,0,1,0,1
Fri Nov 13 01:00:00 CET 2020,0,1,0,1
Fri Nov 13 02:00:00 CET 2020,0,1,0,1
Fri Nov 13 03:00:00 CET 2020,0,1,0,1
Fri Nov 13 04:00:00 CET 2020,0,1,0,1
Fri Nov 13 05:00:00 CET 2020,0,1,0,1
Fri Nov 13 06:00:00 CET 2020,0,1,0,1
