Time,Watering intensity,Shutters,UV-Lamps,Heating
Thu Nov 05 23:00:00 CET 2020,0,1,1,1
Fri Nov 06 00:00:00 CET 2020,0,1,1,1
Fri Nov 06 01:00:00 CET 2020,0,1,1,1
Fri Nov 06 02:00:00 CET 2020,0,1,1,1
Fri Nov 06 03:00:00 CET 2020,0,1,1,1
Fri Nov 06 04:00:00 CET 2020,0,1,1,1
Fri Nov 06 05:00:00 CET 2020,0,1,1,1
Fri Nov 06 06:00:00 CET 2020,0,1,0,1
Fri Nov 06 07:00:00 CET 2020,0,1,0,1
Fri Nov 06 08:00:00 CET 2020,0,1,0,1
Fri Nov 06 09:00:00 CET 2020,0,1,0,1
Fri Nov 06 10:00:00 CET 2020,0,1,0,1
Fri Nov 06 11:00:00 CET 2020,0,1,0,1
Fri Nov 06 12:00:00 CET 2020,0,1,0,1
Fri Nov 06 13:00:00 CET 2020,0,1,0,1
Fri Nov 06 14:00:00 CET 2020,0,1,0,1
Fri Nov 06 15:00:00 CET 2020,0,1,0,1
Fri Nov 06 16:00:00 CET 2020,0,1,0,1
Fri Nov 06 17:00:00 CET 2020,0,1,0,1
Fri Nov 06 18:00:00 CET 2020,0,1,0,1
Fri Nov 06 19:00:00 CET 2020,0,1,0,1
Fri Nov 06 20:00:00 CET 2020,0,1,0,1
Fri Nov 06 21:00:00 CET 2020,0,1,0,1
Fri Nov 06 22:00:00 CET 2020,0,1,0,1
Fri Nov 06 23:00:00 CET 2020,0,1,0,1
Sat Nov 07 00:00:00 CET 2020,0,1,0,1
Sat Nov 07 01:00:00 CET 2020,0,1,0,1
Sat Nov 07 02:00:00 CET 2020,0,1,0,1
Sat Nov 07 03:00:00 CET 2020,0,1,0,1
Sat Nov 07 04:00:00 CET 2020,0,1,0,1
Sat Nov 07 05:00:00 CET 2020,0,1,0,1
Sat Nov 07 06:00:00 CET 2020,0,1,0,1
Sat Nov 07 07:00:00 CET 2020,0,1,0,1
Sat Nov 07 08:00:00 CET 2020,0,1,0,1
Sat Nov 07 09:00:00 CET 2020,0,1,0,1
Sat Nov 07 10:00:00 CET 2020,0,1,0,1
Sat Nov 07 11:00:00 CET 2020,0,1,0,1
Sat Nov 07 12:00:00 CET 2020,0,1,0,1
Sat Nov 07 13:00:00 CET 2020,0,1,0,1
Sat Nov 07 14:00:00 CET 2020,0,1,0,1
Sat Nov 07 15:00:00 CET 2020,0,1,0,1
Sat Nov 07 16:00:00 CET 2020,0,1,0,1
Sat Nov 07 17:00:00 CET 2020,0,1,0,1
Sat Nov 07 18:00:00 CET 2020,0,1,0,1
Sat Nov 07 19:00:00 CET 2020,0,1,0,1
Sat Nov 07 20:00:00 CET 2020,0,1,0,1
Sat Nov 07 21:00:00 CET 2020,0,1,0,1
Sat Nov 07 22:00:00 CET 2020,0,1,0,1
Sat Nov 07 23:00:00 CET 2020,0,1,0,1
Sun Nov 08 00:00:00 CET 2020,0,1,0,1
Sun Nov 08 01:00:00 CET 2020,0,1,0,1
Sun Nov 08 02:00:00 CET 2020,0,1,0,1
Sun Nov 08 03:00:00 CET 2020,0,1,0,1
Sun Nov 08 04:00:00 CET 2020,0,1,0,1
Sun Nov 08 05:00:00 CET 2020,0,1,0,1
Sun Nov 08 06:00:00 CET 2020,0,1,0,1
Sun Nov 08 07:00:00 CET 2020,0,1,0,1
Sun Nov 08 08:00:00 CET 2020,0,1,0,1
Sun Nov 08 09:00:00 CET 2020,0,1,0,1
Sun Nov 08 10:00:00 CET 2020,0,1,0,1
Sun Nov 08 11:00:00 CET 2020,0,1,0,1
Sun Nov 08 12:00:00 CET 2020,0,1,0,1
Sun Nov 08 13:00:00 CET 2020,0,1,0,1
Sun Nov 08 14:00:00 CET 2020,0,1,0,1
Sun Nov 08 15:00:00 CET 2020,0,1,0,1
Sun Nov 08 16:00:00 CET 2020,0,1,0,1
Sun Nov 08 17:00:00 CET 2020,0,1,1,1
Sun Nov 08 18:00:00 CET 2020,0,1,1,1
Sun Nov 08 19:00:00 CET 2020,0,1,1,1
Sun Nov 08 20:00:00 CET 2020,0,1,1,1
Sun Nov 08 21:00:00 CET 2020,0,1,0,1
Sun Nov 08 22:00:00 CET 2020,0,1,0,1
Sun Nov 08 23:00:00 CET 2020,0,1,0,1
Mon Nov 09 00:00:00 CET 2020,0,1,0,1
Mon Nov 09 01:00:00 CET 2020,0,1,0,1
Mon Nov 09 02:00:00 CET 2020,0,1,0,1
Mon Nov 09 03:00:00 CET 2020,0,1,0,1
Mon Nov 09 04:00:00 CET 2020,0,1,0,1
Mon Nov 09 05:00:00 CET 2020,0,1,0,1
Mon Nov 09 06:00:00 CET 2020,0,1,0,1
Mon Nov 09 07:00:00 CET 2020,0,1,0,1
Mon Nov 09 08:00:00 CET 2020,0,1,0,1
Mon Nov 09 09:00:00 CET 2020,0,1,0,1
Mon Nov 09 10:00:00 CET 2020,0,1,0,1
Mon Nov 09 11:00:00 CET 2020,0,1,0,1
Mon Nov 09 12:00:00 CET 2020,0,1,0,1
Mon Nov 09 13:00:00 CET 2020,0,1,0,1
Mon Nov 09 14:00:00 CET 2020,0,1,0,1
Mon Nov 09 15:00:00 CET 2020,0,1,0,1
Mon Nov 09 16:00:00 CET 2020,0,1,0,1
Mon Nov 09 17:00:00 CET 2020,0,1,1,1
Mon Nov 09 18:00:00 CET 2020,0,1,1,1
Mon Nov 09 19:00:00 CET 2020,0,1,0,1
