Time,Watering intensity,Shutters,UV-Lamps,Heating
Fri Sep 11 21:00:00 CEST 2020,0,1,0,1
Fri Sep 11 22:00:00 CEST 2020,0,1,0,1
Fri Sep 11 23:00:00 CEST 2020,0,0,0,1
Sat Sep 12 00:00:00 CEST 2020,0,1,0,1
Sat Sep 12 01:00:00 CEST 2020,0,1,0,1
Sat Sep 12 02:00:00 CEST 2020,0,0,0,1
Sat Sep 12 03:00:00 CEST 2020,0,1,0,1
Sat Sep 12 04:00:00 CEST 2020,0,1,0,1
Sat Sep 12 05:00:00 CEST 2020,1,1,0,1
Sat Sep 12 06:00:00 CEST 2020,0,1,0,1
Sat Sep 12 07:00:00 CEST 2020,0,1,0,1
Sat Sep 12 08:00:00 CEST 2020,0,0,0,1
Sat Sep 12 09:00:00 CEST 2020,0,0,0,1
Sat Sep 12 10:00:00 CEST 2020,0,1,0,1
Sat Sep 12 11:00:00 CEST 2020,0,1,0,1
Sat Sep 12 12:00:00 CEST 2020,0,1,0,1
Sat Sep 12 13:00:00 CEST 2020,0,1,0,0
Sat Sep 12 14:00:00 CEST 2020,0,1,0,0
Sat Sep 12 15:00:00 CEST 2020,0,1,0,0
Sat Sep 12 16:00:00 CEST 2020,0,1,0,0
Sat Sep 12 17:00:00 CEST 2020,0,1,0,0
Sat Sep 12 18:00:00 CEST 2020,0,1,0,0
Sat Sep 12 19:00:00 CEST 2020,0,0,0,0
Sat Sep 12 20:00:00 CEST 2020,0,1,0,1
Sat Sep 12 21:00:00 CEST 2020,0,1,0,1
Sat Sep 12 22:00:00 CEST 2020,2,1,0,1
Sat Sep 12 23:00:00 CEST 2020,0,0,0,1
Sun Sep 13 00:00:00 CEST 2020,0,1,0,1
Sun Sep 13 01:00:00 CEST 2020,0,0,0,1
Sun Sep 13 02:00:00 CEST 2020,0,1,0,1
Sun Sep 13 03:00:00 CEST 2020,0,1,0,1
Sun Sep 13 04:00:00 CEST 2020,0,1,0,1
Sun Sep 13 05:00:00 CEST 2020,0,1,0,1
Sun Sep 13 06:00:00 CEST 2020,0,1,0,1
Sun Sep 13 07:00:00 CEST 2020,0,1,0,1
Sun Sep 13 08:00:00 CEST 2020,0,0,0,1
Sun Sep 13 09:00:00 CEST 2020,0,1,0,1
Sun Sep 13 10:00:00 CEST 2020,0,1,0,1
Sun Sep 13 11:00:00 CEST 2020,0,1,0,1
Sun Sep 13 12:00:00 CEST 2020,0,0,0,1
Sun Sep 13 13:00:00 CEST 2020,0,0,0,1
Sun Sep 13 14:00:00 CEST 2020,0,1,0,0
Sun Sep 13 15:00:00 CEST 2020,0,0,0,0
Sun Sep 13 16:00:00 CEST 2020,0,1,0,0
Sun Sep 13 17:00:00 CEST 2020,0,1,0,0
Sun Sep 13 18:00:00 CEST 2020,0,1,0,0
Sun Sep 13 19:00:00 CEST 2020,0,1,0,0
Sun Sep 13 20:00:00 CEST 2020,0,1,0,1
Sun Sep 13 21:00:00 CEST 2020,0,0,0,1
Sun Sep 13 22:00:00 CEST 2020,0,0,0,1
Sun Sep 13 23:00:00 CEST 2020,0,0,0,1
Mon Sep 14 00:00:00 CEST 2020,0,1,0,1
Mon Sep 14 01:00:00 CEST 2020,0,1,0,1
Mon Sep 14 02:00:00 CEST 2020,0,1,0,1
Mon Sep 14 03:00:00 CEST 2020,0,0,0,1
Mon Sep 14 04:00:00 CEST 2020,0,1,0,1
Mon Sep 14 05:00:00 CEST 2020,0,1,0,1
Mon Sep 14 06:00:00 CEST 2020,0,1,0,1
Mon Sep 14 07:00:00 CEST 2020,0,1,0,1
Mon Sep 14 08:00:00 CEST 2020,0,1,0,1
