Time,Watering intensity,Shutters,UV-Lamps,Heating
Wed Nov 04 09:00:00 CET 2020,0,1,0,1
Wed Nov 04 10:00:00 CET 2020,0,1,0,1
Wed Nov 04 11:00:00 CET 2020,0,1,0,1
Wed Nov 04 12:00:00 CET 2020,0,1,0,1
Wed Nov 04 13:00:00 CET 2020,0,1,0,1
Wed Nov 04 14:00:00 CET 2020,0,1,0,1
Wed Nov 04 15:00:00 CET 2020,0,1,0,1
Wed Nov 04 16:00:00 CET 2020,0,1,0,1
Wed Nov 04 17:00:00 CET 2020,0,1,1,1
Wed Nov 04 18:00:00 CET 2020,0,1,1,1
Wed Nov 04 19:00:00 CET 2020,0,1,1,1
Wed Nov 04 20:00:00 CET 2020,0,1,1,1
Wed Nov 04 21:00:00 CET 2020,0,1,1,1
Wed Nov 04 22:00:00 CET 2020,0,1,1,1
Wed Nov 04 23:00:00 CET 2020,0,1,1,1
Thu Nov 05 00:00:00 CET 2020,0,1,0,1
Thu Nov 05 01:00:00 CET 2020,0,1,0,1
Thu Nov 05 02:00:00 CET 2020,0,1,0,1
Thu Nov 05 03:00:00 CET 2020,0,1,0,1
Thu Nov 05 04:00:00 CET 2020,0,1,0,1
Thu Nov 05 05:00:00 CET 2020,0,1,0,1
Thu Nov 05 06:00:00 CET 2020,0,1,0,1
Thu Nov 05 07:00:00 CET 2020,0,1,0,1
Thu Nov 05 08:00:00 CET 2020,0,1,0,1
Thu Nov 05 09:00:00 CET 2020,0,1,0,1
Thu Nov 05 10:00:00 CET 2020,0,1,0,1
Thu Nov 05 11:00:00 CET 2020,0,1,0,1
Thu Nov 05 12:00:00 CET 2020,0,1,0,1
Thu Nov 05 13:00:00 CET 2020,0,1,0,1
Thu Nov 05 14:00:00 CET 2020,0,1,0,1
Thu Nov 05 15:00:00 CET 2020,0,1,0,1
Thu Nov 05 16:00:00 CET 2020,0,1,0,1
Thu Nov 05 17:00:00 CET 2020,0,1,0,1
Thu Nov 05 18:00:00 CET 2020,0,1,0,1
Thu Nov 05 19:00:00 CET 2020,0,1,0,1
Thu Nov 05 20:00:00 CET 2020,0,1,0,1
Thu Nov 05 21:00:00 CET 2020,0,1,0,1
Thu Nov 05 22:00:00 CET 2020,0,1,0,1
Thu Nov 05 23:00:00 CET 2020,0,1,0,1
Fri Nov 06 00:00:00 CET 2020,0,1,0,1
Fri Nov 06 01:00:00 CET 2020,0,1,0,1
Fri Nov 06 02:00:00 CET 2020,0,1,0,1
Fri Nov 06 03:00:00 CET 2020,0,1,0,1
Fri Nov 06 04:00:00 CET 2020,0,1,0,1
Fri Nov 06 05:00:00 CET 2020,0,1,0,1
Fri Nov 06 06:00:00 CET 2020,0,1,0,1
Fri Nov 06 07:00:00 CET 2020,0,1,0,1
Fri Nov 06 08:00:00 CET 2020,0,1,0,1
Fri Nov 06 09:00:00 CET 2020,0,1,0,1
Fri Nov 06 10:00:00 CET 2020,0,1,0,1
Fri Nov 06 11:00:00 CET 2020,0,1,0,1
Fri Nov 06 12:00:00 CET 2020,0,1,0,1
Fri Nov 06 13:00:00 CET 2020,0,1,0,1
Fri Nov 06 14:00:00 CET 2020,0,1,0,1
Fri Nov 06 15:00:00 CET 2020,0,1,0,1
Fri Nov 06 16:00:00 CET 2020,0,1,0,1
Fri Nov 06 17:00:00 CET 2020,0,1,0,1
Fri Nov 06 18:00:00 CET 2020,0,1,0,1
Fri Nov 06 19:00:00 CET 2020,0,1,0,1
Fri Nov 06 20:00:00 CET 2020,0,1,0,1
Fri Nov 06 21:00:00 CET 2020,0,1,0,1
Fri Nov 06 22:00:00 CET 2020,0,1,0,1
Fri Nov 06 23:00:00 CET 2020,0,1,0,1
Sat Nov 07 00:00:00 CET 2020,0,1,0,1
Sat Nov 07 01:00:00 CET 2020,0,1,0,1
Sat Nov 07 02:00:00 CET 2020,0,1,0,1
Sat Nov 07 03:00:00 CET 2020,0,1,0,1
Sat Nov 07 04:00:00 CET 2020,0,1,0,1
Sat Nov 07 05:00:00 CET 2020,0,1,0,1
Sat Nov 07 06:00:00 CET 2020,0,1,0,1
Sat Nov 07 07:00:00 CET 2020,0,1,0,1
Sat Nov 07 08:00:00 CET 2020,0,1,0,1
Sat Nov 07 09:00:00 CET 2020,0,1,0,1
Sat Nov 07 10:00:00 CET 2020,0,1,0,1
Sat Nov 07 11:00:00 CET 2020,0,1,0,1
Sat Nov 07 12:00:00 CET 2020,0,1,0,1
Sat Nov 07 13:00:00 CET 2020,0,1,0,1
Sat Nov 07 14:00:00 CET 2020,0,1,0,1
Sat Nov 07 15:00:00 CET 2020,0,1,0,1
Sat Nov 07 16:00:00 CET 2020,0,1,0,1
Sat Nov 07 17:00:00 CET 2020,0,1,0,1
Sat Nov 07 18:00:00 CET 2020,0,1,0,1
