Time,Watering intensity,Shutters,UV-Lamps,Heating
Thu Oct 15 17:00:00 CEST 2020,0,1,0,1
Thu Oct 15 18:00:00 CEST 2020,0,1,0,1
Thu Oct 15 19:00:00 CEST 2020,0,1,1,1
Thu Oct 15 20:00:00 CEST 2020,0,1,1,1
Thu Oct 15 21:00:00 CEST 2020,0,1,1,1
Thu Oct 15 22:00:00 CEST 2020,0,1,1,1
Thu Oct 15 23:00:00 CEST 2020,0,1,1,1
Fri Oct 16 00:00:00 CEST 2020,0,1,1,1
Fri Oct 16 01:00:00 CEST 2020,0,1,1,1
Fri Oct 16 02:00:00 CEST 2020,0,1,1,1
Fri Oct 16 03:00:00 CEST 2020,0,1,0,1
Fri Oct 16 04:00:00 CEST 2020,0,1,0,1
Fri Oct 16 05:00:00 CEST 2020,0,1,0,1
Fri Oct 16 06:00:00 CEST 2020,0,1,0,1
Fri Oct 16 07:00:00 CEST 2020,0,1,0,1
Fri Oct 16 08:00:00 CEST 2020,0,1,0,1
Fri Oct 16 09:00:00 CEST 2020,0,1,0,1
Fri Oct 16 10:00:00 CEST 2020,0,1,0,1
Fri Oct 16 11:00:00 CEST 2020,0,1,0,1
Fri Oct 16 12:00:00 CEST 2020,0,1,0,1
Fri Oct 16 13:00:00 CEST 2020,0,1,0,1
Fri Oct 16 14:00:00 CEST 2020,0,1,0,1
Fri Oct 16 15:00:00 CEST 2020,0,1,0,1
Fri Oct 16 16:00:00 CEST 2020,0,1,0,1
Fri Oct 16 17:00:00 CEST 2020,0,1,0,1
Fri Oct 16 18:00:00 CEST 2020,0,1,0,1
Fri Oct 16 19:00:00 CEST 2020,0,1,1,1
Fri Oct 16 20:00:00 CEST 2020,0,1,1,1
Fri Oct 16 21:00:00 CEST 2020,0,1,1,1
Fri Oct 16 22:00:00 CEST 2020,0,1,1,1
Fri Oct 16 23:00:00 CEST 2020,0,1,1,1
Sat Oct 17 00:00:00 CEST 2020,0,1,1,1
Sat Oct 17 01:00:00 CEST 2020,0,1,1,1
Sat Oct 17 02:00:00 CEST 2020,0,1,1,1
Sat Oct 17 03:00:00 CEST 2020,0,1,0,1
Sat Oct 17 04:00:00 CEST 2020,0,1,0,1
Sat Oct 17 05:00:00 CEST 2020,0,1,0,1
Sat Oct 17 06:00:00 CEST 2020,0,1,0,1
Sat Oct 17 07:00:00 CEST 2020,0,1,0,1
Sat Oct 17 08:00:00 CEST 2020,0,1,0,1
Sat Oct 17 09:00:00 CEST 2020,0,1,0,1
Sat Oct 17 10:00:00 CEST 2020,0,1,0,1
Sat Oct 17 11:00:00 CEST 2020,0,1,0,1
Sat Oct 17 12:00:00 CEST 2020,0,1,0,1
Sat Oct 17 13:00:00 CEST 2020,0,1,0,1
Sat Oct 17 14:00:00 CEST 2020,0,1,0,1
Sat Oct 17 15:00:00 CEST 2020,0,1,0,1
Sat Oct 17 16:00:00 CEST 2020,0,1,0,1
Sat Oct 17 17:00:00 CEST 2020,0,1,0,1
Sat Oct 17 18:00:00 CEST 2020,0,1,0,1
Sat Oct 17 19:00:00 CEST 2020,0,1,1,1
Sat Oct 17 20:00:00 CEST 2020,0,1,1,1
Sat Oct 17 21:00:00 CEST 2020,0,1,1,1
Sat Oct 17 22:00:00 CEST 2020,0,1,1,1
Sat Oct 17 23:00:00 CEST 2020,0,1,1,1
Sun Oct 18 00:00:00 CEST 2020,0,1,1,1
Sun Oct 18 01:00:00 CEST 2020,0,1,1,1
Sun Oct 18 02:00:00 CEST 2020,0,1,0,1
Sun Oct 18 03:00:00 CEST 2020,0,1,0,1
Sun Oct 18 04:00:00 CEST 2020,0,1,0,1
