Time,Watering intensity,Shutters,UV-Lamps,Heating
Sat Oct 31 16:00:00 CET 2020,0,1,0,1
Sat Oct 31 17:00:00 CET 2020,0,1,0,1
Sat Oct 31 18:00:00 CET 2020,0,1,1,1
Sat Oct 31 19:00:00 CET 2020,0,1,1,1
Sat Oct 31 20:00:00 CET 2020,0,1,1,1
Sat Oct 31 21:00:00 CET 2020,0,1,1,1
Sat Oct 31 22:00:00 CET 2020,0,1,0,1
Sat Oct 31 23:00:00 CET 2020,0,1,0,1
Sun Nov 01 00:00:00 CET 2020,0,1,0,1
Sun Nov 01 01:00:00 CET 2020,0,1,0,1
Sun Nov 01 02:00:00 CET 2020,0,1,0,1
Sun Nov 01 03:00:00 CET 2020,0,1,0,1
Sun Nov 01 04:00:00 CET 2020,0,1,0,1
Sun Nov 01 05:00:00 CET 2020,0,1,0,1
Sun Nov 01 06:00:00 CET 2020,0,1,0,1
Sun Nov 01 07:00:00 CET 2020,0,1,0,1
Sun Nov 01 08:00:00 CET 2020,0,1,0,1
Sun Nov 01 09:00:00 CET 2020,0,1,0,1
Sun Nov 01 10:00:00 CET 2020,0,1,0,1
Sun Nov 01 11:00:00 CET 2020,0,1,0,1
Sun Nov 01 12:00:00 CET 2020,0,1,0,1
Sun Nov 01 13:00:00 CET 2020,0,1,0,1
Sun Nov 01 14:00:00 CET 2020,0,1,0,1
Sun Nov 01 15:00:00 CET 2020,0,1,0,1
Sun Nov 01 16:00:00 CET 2020,0,1,0,1
Sun Nov 01 17:00:00 CET 2020,0,1,0,1
Sun Nov 01 18:00:00 CET 2020,0,1,1,1
Sun Nov 01 19:00:00 CET 2020,0,1,1,1
Sun Nov 01 20:00:00 CET 2020,0,1,1,1
Sun Nov 01 21:00:00 CET 2020,0,1,1,1
Sun Nov 01 22:00:00 CET 2020,0,1,1,1
Sun Nov 01 23:00:00 CET 2020,0,1,1,1
Mon Nov 02 00:00:00 CET 2020,0,1,1,1
Mon Nov 02 01:00:00 CET 2020,0,1,0,1
Mon Nov 02 02:00:00 CET 2020,0,1,0,1
Mon Nov 02 03:00:00 CET 2020,0,1,0,1
Mon Nov 02 04:00:00 CET 2020,0,1,0,1
Mon Nov 02 05:00:00 CET 2020,0,1,0,1
Mon Nov 02 06:00:00 CET 2020,0,1,0,1
Mon Nov 02 07:00:00 CET 2020,0,1,0,1
Mon Nov 02 08:00:00 CET 2020,0,1,0,1
Mon Nov 02 09:00:00 CET 2020,0,1,0,1
Mon Nov 02 10:00:00 CET 2020,0,1,0,1
Mon Nov 02 11:00:00 CET 2020,0,1,0,1
Mon Nov 02 12:00:00 CET 2020,0,1,0,1
Mon Nov 02 13:00:00 CET 2020,0,1,0,1
Mon Nov 02 14:00:00 CET 2020,0,1,0,1
Mon Nov 02 15:00:00 CET 2020,0,1,0,1
Mon Nov 02 16:00:00 CET 2020,0,1,0,1
Mon Nov 02 17:00:00 CET 2020,0,1,0,1
Mon Nov 02 18:00:00 CET 2020,0,1,1,1
Mon Nov 02 19:00:00 CET 2020,0,1,1,1
Mon Nov 02 20:00:00 CET 2020,0,1,1,1
Mon Nov 02 21:00:00 CET 2020,0,1,1,1
Mon Nov 02 22:00:00 CET 2020,0,1,1,1
Mon Nov 02 23:00:00 CET 2020,0,1,1,1
Tue Nov 03 00:00:00 CET 2020,0,1,1,1
Tue Nov 03 01:00:00 CET 2020,0,1,1,1
Tue Nov 03 02:00:00 CET 2020,0,1,0,1
Tue Nov 03 03:00:00 CET 2020,0,1,0,1
Tue Nov 03 04:00:00 CET 2020,0,1,0,1
Tue Nov 03 05:00:00 CET 2020,0,1,0,1
Tue Nov 03 06:00:00 CET 2020,0,1,0,1
Tue Nov 03 07:00:00 CET 2020,0,1,0,1
Tue Nov 03 08:00:00 CET 2020,0,1,0,1
Tue Nov 03 09:00:00 CET 2020,0,1,0,1
Tue Nov 03 10:00:00 CET 2020,0,1,0,1
Tue Nov 03 11:00:00 CET 2020,0,1,0,1
Tue Nov 03 12:00:00 CET 2020,0,1,0,1
Tue Nov 03 13:00:00 CET 2020,0,1,0,1
Tue Nov 03 14:00:00 CET 2020,0,1,0,1
Tue Nov 03 15:00:00 CET 2020,0,1,0,1
