Time,Watering intensity,Shutters,UV-Lamps,Heating
Mon Nov 02 13:00:00 CET 2020,0,1,0,1
Mon Nov 02 14:00:00 CET 2020,0,1,0,1
Mon Nov 02 15:00:00 CET 2020,0,1,0,1
Mon Nov 02 16:00:00 CET 2020,0,1,0,1
Mon Nov 02 17:00:00 CET 2020,0,1,1,1
Mon Nov 02 18:00:00 CET 2020,0,1,1,1
Mon Nov 02 19:00:00 CET 2020,0,1,1,1
Mon Nov 02 20:00:00 CET 2020,0,1,1,1
Mon Nov 02 21:00:00 CET 2020,0,1,1,1
Mon Nov 02 22:00:00 CET 2020,0,1,0,1
Mon Nov 02 23:00:00 CET 2020,1,1,0,1
Tue Nov 03 00:00:00 CET 2020,0,1,0,1
Tue Nov 03 01:00:00 CET 2020,0,1,0,1
Tue Nov 03 02:00:00 CET 2020,0,1,0,1
Tue Nov 03 03:00:00 CET 2020,0,1,0,1
Tue Nov 03 04:00:00 CET 2020,0,1,0,1
Tue Nov 03 05:00:00 CET 2020,0,1,0,1
Tue Nov 03 06:00:00 CET 2020,0,1,0,1
Tue Nov 03 07:00:00 CET 2020,0,1,0,1
Tue Nov 03 08:00:00 CET 2020,0,1,0,1
Tue Nov 03 09:00:00 CET 2020,0,1,0,1
Tue Nov 03 10:00:00 CET 2020,0,1,0,1
Tue Nov 03 11:00:00 CET 2020,0,1,0,1
Tue Nov 03 12:00:00 CET 2020,0,1,0,1
Tue Nov 03 13:00:00 CET 2020,0,1,0,1
Tue Nov 03 14:00:00 CET 2020,0,1,0,1
Tue Nov 03 15:00:00 CET 2020,0,1,0,1
Tue Nov 03 16:00:00 CET 2020,0,1,0,1
Tue Nov 03 17:00:00 CET 2020,0,1,1,1
Tue Nov 03 18:00:00 CET 2020,0,1,1,1
Tue Nov 03 19:00:00 CET 2020,0,1,1,1
Tue Nov 03 20:00:00 CET 2020,0,1,1,1
Tue Nov 03 21:00:00 CET 2020,0,1,1,1
Tue Nov 03 22:00:00 CET 2020,0,1,1,1
Tue Nov 03 23:00:00 CET 2020,0,1,1,1
Wed Nov 04 00:00:00 CET 2020,0,1,1,1
Wed Nov 04 01:00:00 CET 2020,0,1,0,1
Wed Nov 04 02:00:00 CET 2020,0,1,0,1
Wed Nov 04 03:00:00 CET 2020,0,1,0,1
Wed Nov 04 04:00:00 CET 2020,0,1,0,1
Wed Nov 04 05:00:00 CET 2020,0,1,0,1
Wed Nov 04 06:00:00 CET 2020,0,1,0,1
Wed Nov 04 07:00:00 CET 2020,0,1,0,1
Wed Nov 04 08:00:00 CET 2020,0,1,0,1
Wed Nov 04 09:00:00 CET 2020,0,1,0,1
Wed Nov 04 10:00:00 CET 2020,0,1,0,1
Wed Nov 04 11:00:00 CET 2020,0,1,0,1
Wed Nov 04 12:00:00 CET 2020,0,1,0,1
Wed Nov 04 13:00:00 CET 2020,0,1,0,1
Wed Nov 04 14:00:00 CET 2020,0,1,0,1
Wed Nov 04 15:00:00 CET 2020,0,1,0,1
Wed Nov 04 16:00:00 CET 2020,0,1,0,1
Wed Nov 04 17:00:00 CET 2020,0,1,1,1
Wed Nov 04 18:00:00 CET 2020,0,1,1,1
Wed Nov 04 19:00:00 CET 2020,0,1,1,1
Wed Nov 04 20:00:00 CET 2020,0,1,1,1
Wed Nov 04 21:00:00 CET 2020,0,1,1,1
Wed Nov 04 22:00:00 CET 2020,0,1,1,1
Wed Nov 04 23:00:00 CET 2020,0,1,1,1
Thu Nov 05 00:00:00 CET 2020,0,1,0,1
Thu Nov 05 01:00:00 CET 2020,0,1,0,1
Thu Nov 05 02:00:00 CET 2020,0,1,0,1
Thu Nov 05 03:00:00 CET 2020,0,1,0,1
Thu Nov 05 04:00:00 CET 2020,0,1,0,1
Thu Nov 05 05:00:00 CET 2020,0,1,0,1
Thu Nov 05 06:00:00 CET 2020,0,1,0,1
Thu Nov 05 07:00:00 CET 2020,0,1,0,1
Thu Nov 05 08:00:00 CET 2020,0,1,0,1
Thu Nov 05 09:00:00 CET 2020,0,1,0,1
Thu Nov 05 10:00:00 CET 2020,0,1,0,1
Thu Nov 05 11:00:00 CET 2020,0,1,0,1
Thu Nov 05 12:00:00 CET 2020,0,1,0,1
Thu Nov 05 13:00:00 CET 2020,0,1,0,1
Thu Nov 05 14:00:00 CET 2020,0,1,0,1
Thu Nov 05 15:00:00 CET 2020,0,1,0,1
Thu Nov 05 16:00:00 CET 2020,0,1,0,1
Thu Nov 05 17:00:00 CET 2020,0,1,0,1
Thu Nov 05 18:00:00 CET 2020,0,1,0,1
Thu Nov 05 19:00:00 CET 2020,0,1,0,1
Thu Nov 05 20:00:00 CET 2020,0,1,0,1
Thu Nov 05 21:00:00 CET 2020,0,1,0,1
Thu Nov 05 22:00:00 CET 2020,0,1,0,1
Thu Nov 05 23:00:00 CET 2020,0,1,0,1
Fri Nov 06 00:00:00 CET 2020,0,1,0,1
Fri Nov 06 01:00:00 CET 2020,0,1,0,1
Fri Nov 06 02:00:00 CET 2020,0,1,0,1
Fri Nov 06 03:00:00 CET 2020,0,1,0,1
Fri Nov 06 04:00:00 CET 2020,0,1,0,1
Fri Nov 06 05:00:00 CET 2020,0,1,0,1
Fri Nov 06 06:00:00 CET 2020,0,1,0,1
Fri Nov 06 07:00:00 CET 2020,0,1,0,1
Fri Nov 06 08:00:00 CET 2020,0,1,0,1
Fri Nov 06 09:00:00 CET 2020,0,1,0,1
Fri Nov 06 10:00:00 CET 2020,0,1,0,1
Fri Nov 06 11:00:00 CET 2020,0,1,0,1
Fri Nov 06 12:00:00 CET 2020,0,1,0,1
